geometry_type,latitude,longitude,global_id,name,category,sub_type,management,education,poi_type,number_of_teachers,number_of_students,ward_code,source,ward_name,lga_code,lga_name,state_code,state_name,lon,lat,alternate_name
POINT,11.13287758000007,8.317604130000063,08cdad9f-8def-48a8-8ff9-d3c40f98ae13,Universal Basic Education Dion Sabo,Primary,Standard,Public,Formal,School,,,KD1506,NMIS,Kargi,19015,Kubau,KD,Kaduna,8.317604130000063,11.13287758000007,
POINT,10.76182453000007,8.546816690000071,08dd63a5-f3be-4a79-bf9d-2d2fe637ec0f,Universal Basic Education Koso Primary School,Primary,Primary,Public,Formal,School,,,KD1502,NMIS,Damau,19015,Kubau,KD,Kaduna,8.546816690000071,10.76182453000007,
POINT,10.519508330000065,7.407723333000035,08e67789-08ae-40be-a981-090b94d05a59,Auntee Niimatu Nursery Primary and Junior Secondary School,Secondary,Aggregate,Private,Formal,School,,,KD1007,NMIS,Sabon Gari South,19010,Kaduna South,KD,Kaduna,7.407723333000035,10.519508330000065,
POINT,10.041815040000074,8.011876345000076,08fdb64b-f4ae-4382-85a7-a95590b7ae7c,Universal Basic Education Primary Kurmi Biri Ii,Primary,Primary,Public,Formal,School,,,KD0801,NMIS,Agunu,19008,Kachia,KD,Kaduna,8.011876345000076,10.041815040000074,
POINT,10.412880021000035,7.404050190000021,09052d87-62a0-4a35-b3dd-725bfa4cd5d2,Liberty International School,Secondary,Aggregate,Private,Formal,School,,,KD0203,NMIS,Kakau,19002,Chikun,KD,Kaduna,7.404050190000021,10.412880021000035,
POINT,11.225436331000026,7.7970367670000655,091573ee-6593-4d8b-b68f-4341cd3f385f,Universal Basic Education,Primary,Primary,Public,Formal,School,,,KD1609,NMIS,Taba,19016,Kudan,KD,Kaduna,7.7970367670000655,11.225436331000026,
POINT,10.432204601000024,7.4226897800000415,09207df8-49a2-4c8a-88b3-6b2b68c844d0,Ammega Model Nursery Primary School and Ssecondary School,Secondary,Aggregate,Private,Formal,School,,,KD0212,NMIS,Yelwa,19002,Chikun,KD,Kaduna,7.4226897800000415,10.432204601000024,
POINT,9.084046000000058,8.575076000000024,092108b5-74ac-43a9-bb46-0a4dcb70267a,Local Government Education Authority Primary School,Primary,Primary,Public,Formal,School,,,KD2009,NMIS,Ninzo South,19020,Sanga,KD,Kaduna,8.575076000000024,9.084046000000058,
POINT,9.582837811000047,8.306029870000032,0926e1a0-af8b-4fc3-9520-c8c50dfbc1a4,LGEA Ungwar Mamuda,Primary,Standard,Public,Formal,School,,,KD0711,NMIS,Maigizo,19007,Jema'A,KD,Kaduna,8.306029870000032,9.582837811000047,
POINT,11.24755919100005,7.747780681000052,092ad38e-1bbf-407d-b1f9-e66ab304f48b,LGEA Lafiya,Primary,Primary,Public,Formal,School,,,KD1602,NMIS,Garu,19016,Kudan,KD,Kaduna,7.747780681000052,11.24755919100005,
POINT,10.50224841100004,7.430663109000022,09527233-ec35-4b01-8812-6bd7b10dbca8,A B S I Primary School,Primary,Standard,Public,Formal,School,,,KD0902,NMIS,Dadi Riba,19009,Kaduna North,KD,Kaduna,7.430663109000022,10.50224841100004,
POINT,11.056748751000043,8.207374610000045,095f3105-41cd-4fc1-a549-7a543356d1b9,Universal Basic Education Unguwan Tafki Primary School,Primary,Primary,Public,Formal,School,,,KD1508,NMIS,Mah,19015,Kubau,KD,Kaduna,8.207374610000045,11.056748751000043,
POINT,11.27753019100004,7.817367911000076,0960bd0f-a76b-4bad-b3d7-71e263a192d7,Universal Basic Education Anguwan Makera,Primary,Primary,Public,Formal,School,,,KD1801,NMIS,Dan Damisa,19018,Makarfi,KD,Kaduna,7.817367911000076,11.27753019100004,
POINT,11.03541419100003,7.056973760000062,097a7db7-abe8-4218-8d96-1f554caf9849,LGEA Ruwan Sarki,Primary,Primary,Public,Formal,School,,,KD0107,NMIS,Damari,19001,Birnin Gwari,KD,Kaduna,7.056973760000062,11.03541419100003,
POINT,10.579241671000034,6.929676667000024,09860edb-e9bf-454b-b3f0-a4db58ab819c,Universal Basic Education Kunai Primary School,Primary,Primary,Public,Formal,School,,,KD0205,NMIS,Kunai,19002,Chikun,KD,Kaduna,6.929676667000024,10.579241671000034,
POINT,11.058856320000075,7.330797000000075,098edc71-103d-4989-9c1f-e4b85cb6a75d,Government Junior Secondary School Galadimawa,Secondary,Junior,Public,Formal,School,,,KD0302,NMIS,Galadimawa,19003,Giwa,KD,Kaduna,7.330797000000075,11.058856320000075,
POINT,10.78542531100004,6.111965775000044,09b3d4ea-e92b-413e-b602-f9d747092c83,Universal Basic Education Primary School Ishiwai,Primary,Primary,Public,Formal,School,,,KD0102,NMIS,Kakangi,19001,Birnin Gwari,KD,Kaduna,6.111965775000044,10.78542531100004,
POINT,9.430984855000077,7.985955477000061,09c9930d-1e68-4e39-9115-924f196f07e5,Baptist High School,Secondary,Standard,Private,Formal,School,,,KD0603,NMIS,Dura Bitaro,19006,Jaba,KD,Kaduna,7.985955477000061,9.430984855000077,
POINT,10.752486060000024,8.224565350000034,09cabcf0-9b9b-44c8-b065-4afc40438841,Universal Basic Education Wanya Primary School,Primary,Primary,Public,Formal,School,,,KD1511,NMIS,Zuntu,19015,Kubau,KD,Kaduna,8.224565350000034,10.752486060000024,
