lon,lat,school_name,ward_code,ward_name,lga_code,lga_name
8.25093972,10.87324436,Mai Yashin Makaranta,KD1503,Dutsen Wai,19015,Kubau
7.74597275,10.52915358,Rafin Turmi,KD0404,Gwaraji,19004,Igabi
7.902478,10.88595191,Rigan Malam Ibrahim,KD2105,Kinkiba,19021,Soba
7.43511307,9.91791978,Binin Doka,KD0805,Dokwa,19008,Kachia
8.56400914,10.55550698,Kurmin Tsuntsu,KD1705,Kayarda,19017,Lere
7.8177848,10.25103908,Tudu,KD1201,Afogo,19012,Kajuru
6.75097315,11.08818582,Rugan Saidu,KD0105,Magajin Gari 3,19001,Birnin Gwari
7.98543491,11.41520709,Unguwar Talle,KD0508,Rumi,19005,Ikara
7.47236373,10.45370331,Dariya Street,KD0211,Sabon Tasha,19002,Chikun
7.72648651,10.69921083,Tugagari 1,KD0403,Fanshanu,19004,Igabi
7.44144871,10.55510694,Kaita Road,KD0903,Hayin Banki,19009,Kaduna North
8.04016049,11.36027253,Unguwar Turaki,KD1806,Gwanki,19018,Makarfi
7.49901565,9.91652794,Gidan Liti Inluwo,KD0805,Dokwa,19008,Kachia
7.47265125,10.50827446,Banbansauro A,KD0209,Rido,19002,Chikun
8.02443536,9.34816029,Unguwan James Makama,KD0606,Nduya,19006,Jaba
8.750661364,10.48598852,Sabon Gari Jiggu,KD1702,Dan Alhaji,19017,Lere
7.74021434,10.19394815,Rugan Samaila,KD1207,Kufana,19012,Kajuru
7.38611122,10.52817194,Danmasani Road,KD0409,Rigasa,19004,Igabi
7.295393533,9.371108222,Ungwan Rilwanu,KD1102,Iddah,19011,Kagarko
7.56897311,9.52323432,Sabon Iche A,KD1106,Kagarko South,19011,Kagarko
7.37053014,10.54181053,Dalhatu Mori,KD0409,Rigasa,19004,Igabi
7.5099827,10.69772679,Sabon Gari Yarmakau,KD0407,Kwarau,19004,Igabi
8.55133563,9.70165237,Ruga Bayero Gene,KD1302,Bondong,19013,Kaura
8.489516699,10.11038486,Abuga,KD1405,Geshere,19014,Kauru
7.83542912,11.17885706,Rugar Sani,KD1607,Likoro,19016,Kudan
8.544176289,9.075110683,Unguwa Dorowa Abu,KD2009,Ninzo South,19020,Sanga
7.44706138,10.57943706,Kafinsoli Road B,KD0905,Kawo,19009,Kaduna North
6.26923483,10.48339891,Magajin Gari,KD0106,Randagi,19001,Birnin Gwari
8.45003821,9.66569914,Unguwan Bako Sunday,KD1305,Kaura,19013,Kaura
7.95136782,9.6799181,Bonjock 1,KD0811,Kwaturu,19008,Kachia
7.46173919,10.46206236,Kubusu Close,KD0211,Sabon Tasha,19002,Chikun
8.558246053,9.217011437,Ungwan Kako,KD2003,Ayu,19020,Sanga
8.59521322,10.28680154,Unguwar Kaura,KD1707,Lazuru Tuddai,19017,Lere
8.388446209,9.648139502,Andrew Yashim,KD1308,Malagum,19013,Kaura
7.41201289,10.58567647,Mai Jama'a Road,KD0401,Afaka,19004,Igabi
7.43738238,11.01028061,Rugar Alhaji Inuwa,KD0310,Wazata,19003,Giwa
7.57991511,10.87495517,Hayin Kasuwa,KD0402,Birnin Yero,19004,Igabi
7.719996,11.08732703,Mahaukacin Gida,KD2310,Tudun Wada,19023,Zaria
8.56736234,9.93961486,Unguwan Iliya Bitrus,KD1403,Damakasuwa,19014,Kauru
8.57238592,9.42353568,Unguwan Mada Aboro,KD2001,Aboro,19020,Sanga
8.62303486,9.95955901,Unguwan Ibrahim,KD1403,Damakasuwa,19014,Kauru
8.39009445,9.73727702,Unguwar Yakubu Madaki,KD2206,Unguwar Gaya,19022,Zangon Kataf
7.38428202,10.31394036,Layin Mai Lafiya,KD0203,Kakau,19002,Chikun
7.46319037,10.4430023,Zitti By Galadima Road,KD0211,Sabon Tasha,19002,Chikun
7.571590068,11.23543001,Unguwan Mai Kifi Salanken,KD0309,Shika,19003,Giwa
8.38412237,9.60358966,Unguwan David Didam,KD1307,Kukum,19013,Kaura
8.44533472,9.83871938,Unguwan Dawakai,KD2208,Zaman Dabo,19022,Zangon Kataf
7.52835437,10.81411542,Kanzauren Dan Galadima,KD0410,Sabon Birnin,19004,Igabi
6.54296452,10.65624018,Anguwan Sule Maimai,KD0103,Magajin Gari 1,19001,Birnin Gwari
7.71100717,11.07786353,Garba Kofa Layin Gidan Mallam Audu Ganuwa,KD2307,Kwarbai B,19023,Zaria
7.7348423,11.12499235,Layin Malam Saminu,KD1908,Muchiya,19019,Sabon Gari
7.96536929,9.38093689,Unguwan Ayet Jenjem,KD0606,Nduya,19006,Jaba
8.37826801,9.70065188,Unguwan Benedict Michael,KD1308,Malagum,19013,Kaura
7.612695861,11.01932971,Kasuwan Dutse B,KD2301,Dutsen Abba,19023,Zaria
7.75242007,10.03323339,Rugan Haruna,KD1208,Maro,19012,Kajuru
8.27533291,9.86304726,Rugar Waje,KD2202,Gora,19022,Zangon Kataf
7.42402856,10.52175818,Malunfashi Road B,KD1008,Tudun Nupawa,19010,Kaduna South
7.71516434,11.17938531,Gyatta,KD1904,Dogarawa,19019,Sabon Gari
8.41062041,9.61758366,Unguwar Bodam,KD1306,Kpak,19013,Kaura
8.40813311,9.622872,Unguwar Uzah Tuwat,KD1306,Kpak,19013,Kaura
8.053118221,11.36455379,Bakutaje 2,KD1806,Gwanki,19018,Makarfi
8.5737316,9.71146215,John Mally,KD1302,Bondong,19013,Kaura
7.73943175,11.12272021,Kwari,KD1908,Muchiya,19019,Sabon Gari
